Group name,Folder,Lake (GLP-NGLP),Picture,"Individual (1,2,3)","Instar (1,2)",Sex (m/f),Distal Spine Length (mm),Observation
cecile-nelson-ocarroll,08BS049,NGLP,31,2,2,f,5.63,
cecile-nelson-ocarroll,08BS049,NGLP,31,3,3,f,5.362,
cecile-nelson-ocarroll,08BS049,NGLP,32,1,1,f,5.36,
cecile-nelson-ocarroll,08BS049,NGLP,32,2,2,f,4.794,
cecile-nelson-ocarroll,08BS049,NGLP,32,3,3,f,4.97,
cecile-nelson-ocarroll,08BS049,NGLP,33,1,1,m,5.17,
cecile-nelson-ocarroll,08BS049,NGLP,33,2,1,f,5.602,
cecile-nelson-ocarroll,08BS049,NGLP,33,3,3,f,5.176,
cecile-nelson-ocarroll,08BS049,NGLP,34,1,1,m,5.3,
cecile-nelson-ocarroll,08BS049,NGLP,34,2,2,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,37,1,1,f,5.5,
cecile-nelson-ocarroll,08BS049,NGLP,37,2,2,f,7.1,
cecile-nelson-ocarroll,08BS049,NGLP,38,1,1,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,38,2,2,f,5.1,
cecile-nelson-ocarroll,08BS049,NGLP,39,1,1,m,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,39,2,2,f,6.6,
cecile-nelson-ocarroll,08BS049,NGLP,39,3,2,f,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,40,1,1,f,5.5,
cecile-nelson-ocarroll,08BS049,NGLP,40,2,2,f,5.6,
cecile-nelson-ocarroll,08BS049,NGLP,41,1,1,f,4.9,
cecile-nelson-ocarroll,08BS049,NGLP,41,2,2,f,5.3,
cecile-nelson-ocarroll,08BS049,NGLP,42,1,1,f,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,42,2,2,f,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,43,1,1,m,4.9,
cecile-nelson-ocarroll,08BS049,NGLP,43,2,2,f,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,43,3,2,f,5.5,
cecile-nelson-ocarroll,08BS049,NGLP,44,1,2,f,5.6,
cecile-nelson-ocarroll,08BS049,NGLP,44,2,2,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,45,1,2,f,5.6,
cecile-nelson-ocarroll,08BS049,NGLP,45,2,2,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,45,3,2,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,46,1,2,f,5.4,
cecile-nelson-ocarroll,08BS049,NGLP,46,2,2,f,5.1,
cecile-nelson-ocarroll,08BS049,NGLP,46,3,2,f,5.1,
cecile-nelson-ocarroll,08BS049,NGLP,47,1,2,f,5.3,
cecile-nelson-ocarroll,08BS049,NGLP,47,2,2,f,5,
cecile-nelson-ocarroll,08BS049,NGLP,47,3,2,f,5.6,
cecile-nelson-ocarroll,08BS049,NGLP,48,1,1,f,5.7,
cecile-nelson-ocarroll,08BS049,NGLP,48,2,1,m,4.2,
cecile-nelson-ocarroll,08BS049,NGLP,49,1,1,NA,5.4,
cecile-nelson-ocarroll,08BS049,NGLP,49,2,1,f,5.5,
cecile-nelson-ocarroll,08BS049,NGLP,49,3,1,f,5.1,
cecile-nelson-ocarroll,08BS049,NGLP,50,1,1,f,5.2,
cecile-nelson-ocarroll,08BS049,NGLP,50,2,1,f,5.1,
cecile-nelson-ocarroll,08BS049,NGLP,50,3,1,m,5.6,
cecile-nelson-ocarroll,08BS049,NGLP,51,1,1,NA,4.9,
cecile-nelson-ocarroll,08BS049,NGLP,51,2,1,NA,4.9,
cecile-nelson-ocarroll,08BS049,NGLP,51,3,1,f,5.1,
cecile-nelson-ocarroll,08BS064,GLP,3,1,1,m,2.767,
cecile-nelson-ocarroll,08BS064,GLP,3,2,1,m,5.84,
cecile-nelson-ocarroll,08BS064,GLP,3,3,1,m,5.754,
cecile-nelson-ocarroll,08BS064,GLP,4,1,2,f,6.048,
cecile-nelson-ocarroll,08BS064,GLP,4,2,2,NA,6.031,
cecile-nelson-ocarroll,08BS064,GLP,5,1,2,f,4.588,
cecile-nelson-ocarroll,08BS064,GLP,5,2,2,f,6.893,
cecile-nelson-ocarroll,08BS064,GLP,6,1,1,NA,4.727,
cecile-nelson-ocarroll,08BS064,GLP,6,2,2,f,5.445,
cecile-nelson-ocarroll,08BS064,GLP,7,1,2,f,5.714,
cecile-nelson-ocarroll,08BS064,GLP,8,1,2,f,5.975,
cecile-nelson-ocarroll,08BS064,GLP,9,1,2,f,5.878,
cecile-nelson-ocarroll,08BS064,GLP,9,2,2,f,5.667,
cecile-nelson-ocarroll,08BS064,GLP,10,1,1,m,5.638,
cecile-nelson-ocarroll,08BS064,GLP,10,2,2,f,5.873,
cecile-nelson-ocarroll,08BS064,GLP,11,1,2,f,5.706,
cecile-nelson-ocarroll,08BS064,GLP,11,2,2,f,6.127,
cecile-nelson-ocarroll,08BS064,GLP,12,1,2,NA,6.133,
cecile-nelson-ocarroll,08BS064,GLP,12,2,2,f,5.672,
cecile-nelson-ocarroll,08BS064,GLP,13,1,2,f,5.971,
cecile-nelson-ocarroll,08BS064,GLP,14,1,2,f,5.746,
cecile-nelson-ocarroll,08BS064,GLP,14,2,2,f,5.608,
cecile-nelson-ocarroll,08BS064,GLP,15,1,2,f,5.96,
cecile-nelson-ocarroll,08BS064,GLP,15,2,2,f,5.956,
cecile-nelson-ocarroll,08BS064,GLP,16,1,2,f,5.842,
cecile-nelson-ocarroll,08BS064,GLP,17,1,2,f,5.779,
cecile-nelson-ocarroll,08BS064,GLP,18,1,2,f,5.919,
cecile-nelson-ocarroll,08BS064,GLP,19,1,2,f,5.773,
cecile-nelson-ocarroll,08BS064,GLP,20,2,2,f,6.07,
cecile-nelson-ocarroll,08BS064,GLP,20,3,2,f,6.468,
cecile-nelson-ocarroll,08BS064,GLP,21,1,2,f,5.502,
cecile-nelson-ocarroll,08BS064,GLP,21,2,2,f,5.898,
cecile-nelson-ocarroll,08BS064,GLP,22,1,2,NA,6.042,
cecile-nelson-ocarroll,08BS064,GLP,22,2,2,f,5.731,
cecile-nelson-ocarroll,08BS064,GLP,23,1,2,f,6.081,
cecile-nelson-ocarroll,08BS064,GLP,23,2,2,f,6.04,
cecile-nelson-ocarroll,08BS064,GLP,24,1,2,f,5.62,
cecile-nelson-ocarroll,08BS064,GLP,24,2,2,f,5.663,
cecile-nelson-ocarroll,08BS064,GLP,25,1,2,f,5.85,
cecile-nelson-ocarroll,08BS064,GLP,25,2,2,NA,5.352,
cecile-nelson-ocarroll,08BS064,GLP,26,1,2,f,5.851,
cecile-nelson-ocarroll,08BS064,GLP,26,2,2,NA,5.934,
cecile-nelson-ocarroll,08BS064,GLP,27,1,2,f,5.777,
cecile-nelson-ocarroll,08BS064,GLP,27,2,2,f,5.752,
cecile-nelson-ocarroll,08BS064,GLP,28,1,2,f,5.566,
cecile-nelson-ocarroll,08BS064,GLP,28,2,2,m,5.916,
cecile-nelson-ocarroll,08BS064,GLP,29,1,2,f,5.567,
cecile-nelson-ocarroll,08BS064,GLP,29,2,2,f,5.931,
cecile-nelson-ocarroll,08BS064,GLP,30,1,2,f,6.073,
cecile-nelson-ocarroll,08BS064,GLP,30,2,2,m,6.069,
cecile-nelson-ocarroll,08BS064,GLP,31,1,2,f,5.68,
cecile-nelson-ocarroll,08BS064,GLP,31,2,2,f,6.241,
cecile-nelson-ocarroll,08BS064,GLP,32,1,2,f,6.074,
cecile-nelson-ocarroll,08BS064,GLP,32,2,2,NA,6.449,
cecile-nelson-ocarroll,08BS064,GLP,33,1,2,f,5.067,
cecile-nelson-ocarroll,08BS064,GLP,33,2,2,f,5.805,
